장소명,주소명,상세페이지
도봉동어르신복지관[체험존],서울특별시 도봉구 도봉로169가길 52 (도봉동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002184
독산2동주민센터[체험존],서울특별시 금천구 독산로 179 (독산동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001668
성동구립 사근동노인복지센터,서울특별시 성동구 사근동길 37 (사근동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000016
영등포어르신복지센터,서울특별시 영등포구 도영로22길 36 (영등포동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001673
구립응암노인복지관,서울특별시 은평구 응암로21가길 5-1,https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002141
자양종합사회복지관,서울특별시 광진구 자양번영로 35 (자양동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002120
신당누리센터 누리도서관,서울특별시 중구 다산로33길 3 (신당동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000216
신목종합사회복지관,"서울특별시 양천구 신목로 5 (신정동, 목동삼성아파트)",https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000106
동대문노인종합복지관,서울특별시 동대문구 제기로33길 25 (청량리동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002432
한국복지정보통신협의회(강북)[체험존],서울특별시 강북구 솔매로50길 43 (미아동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000221
은평문화예술회관,서울특별시 은평구 녹번로 16 (녹번동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000140
서초여성가족플라자 서초센터[체험존],서울특별시 서초구 서운로26길 3 (서초동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000186
자양종합사회복지관,서울특별시 광진구 자양번영로 35 (자양동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002303
서초구립방배2동제2경로당,서울특별시 서초구 방배천로16길 5 (방배동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000064
성북노인종합복지관[체험존],서울특별시 성북구 종암로15길 10 (종암동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210002425
성동구립 사근동노인복지센터,서울특별시 성동구 사근동길 37 (사근동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210000909
에코미래학습코칭센터,서울특별시 강서구 마곡서로 56 (마곡동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001080
영등포어르신복지센터,서울특별시 영등포구 도영로22길 36 (영등포동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001662
강남노인종합복지관[체험존],서울특별시 강남구 삼성로 628 (삼성동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001111
강감찬관악종합사회복지관,서울특별시 관악구 양녕로 74 (봉천동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20210001092
시립용산노인종합복지관 [체험존],서울특별시 용산구 독서당로11길 16 (한남동),https://www.xn--2z1bw8k1pjz5ccumkb.kr/edc/crse/plcdtl.do?&sch_edc_place_id=20190000072
